ident,time_appear,time_disappear,alt_min_ft,alt_max_ft,label
FDX5236,21:08:21,21:11:18,35551,35600,Blocked
DAL2963,21:14:16,21:15:02,34571,34575,Blocked
UAL2855,21:18:10,21:21:05,37625,37625,Clear
SWA954,21:27:15,21:28:04,35675,35675,Blocked
UAL758,21:28:29,21:31:40,37650,37650,Blocked
AWI6132,21:28:46,21:31:54,25104,25700,Blocked
JIA5514,21:31:29,21:32:29,8425,9925,Blocked
UAL2191,21:47:56,21:48:56,37600,37600,Blocked
DAL2866,21:52:07,21:55:12,32678,32700,Blocked
N650CW,21:52:22,21:58:45,24375,33568,Blocked
SWA3744,21:58:56,21:59:42,12525,13534,Blocked
