ident,section,time_appear,time_disappear,alt_min_ft,alt_max_ft,label,notes
ANA8401,1,19:57:12,20:00:19,31575,31925,Clear,
ANA8402,1,16:16:30,19:57:04,10591,31300,Blocked,
ASA1,1,13:42:37,13:46:43,35825,35850,Clear,
ASA18,1,16:56:15,16:58:44,34850,34875,Clear,
ASA20,1,19:30:15,19:32:00,34925,34950,Clear,
ASA216,1,19:39:30,22:36:54,35875,36850,Clear,
ASA26,1,21:09:26,21:12:25,34875,36550,Clear,
ASA280,1,16:33:27,16:36:59,34825,34850,Clear,
ASA290,1,18:24:46,23:41:35,33925,34875,Dissipate < 10,
ASA3,1,23:51:32,23:55:08,31900,31900,Clear,
ASA30,1,16:48:43,16:50:30,36900,36900,Clear,
ASA304,1,21:36:48,21:41:22,31925,31950,Clear,
ASA323,1,20:06:44,20:10:12,19425,25050,Clear,
ASA324,1,17:49:16,17:49:43,10846,10975,Blocked,
ASA34,1,18:58:26,19:01:24,34825,34850,Clear,
ASA352,1,22:04:28,22:04:55,10942,11033,Clear,
ASA398,1,20:25:22,20:28:36,34875,34900,Clear,
ASA4,1,23:50:33,23:51:13,31900,31900,Blocked,
ASA406,1,19:58:17,20:01:25,34875,34875,Clear,
ASA408,1,19:18:16,19:18:45,10568,10988,Blocked,
ASA412,1,21:10:19,21:14:00,36875,36875,Clear,
ASA537,1,16:06:52,16:11:52,35825,35850,Blocked,
ASA598,1,22:20:02,22:20:27,10633,10932,Blocked,
ASA809,1,18:19:50,20:06:33,9575,19050,Clear,
ASH6059,1,20:55:59,21:03:02,16100,26150,Clear,
ASH6067,1,14:31:00,14:34:59,29821,29850,Clear,
ASH6095,1,19:32:04,19:34:53,32950,32975,Clear,
AWI2043,1,15:53:39,15:54:10,9275,10050,Blocked,
AWI6030,1,19:23:52,19:27:48,13925,13950,Blocked,
AWI6046,1,21:30:14,21:32:19,13063,17650,Clear,
AWI6061,1,17:40:10,17:40:40,9400,10300,Blocked,
AWI6063,1,17:36:26,17:36:57,10646,10950,Blocked,
AWI6064,1,23:45:56,23:46:25,11025,11065,Blocked,
AWI6065,1,15:48:07,15:54:17,21793,21975,Clear,
AWI6132,1,19:15:16,19:21:51,23796,25975,Clear,
CAL5236,1,22:34:24,22:34:48,10825,11313,Blocked,
CAL5313,1,17:53:20,17:58:16,28900,31925,Persistent,
CAL5314,1,14:15:01,17:53:07,10885,28575,Blocked,
CAO1017,1,20:25:38,20:40:20,10928,24565,Clear,
CFC3078,1,18:25:11,18:30:50,37800,37850,Dissipate < 10,
CFSNC,1,16:56:38,17:03:08,42850,42875,Clear,
CGIWC,1,15:42:28,15:47:03,42750,42800,Clear,
CGNCN,1,22:43:48,22:50:56,37700,39950,Clear,
CKK227,1,16:56:25,16:56:55,10925,11175,Clear,
CKK228,1,20:21:36,20:24:39,28750,29925,Clear,
CKS285,1,14:32:29,14:36:49,32850,32850,Dissipate > 10,
CKS894,1,19:26:07,19:31:07,34350,39675,Clear,
CKS895,1,13:23:45,19:25:59,10843,33950,Clear,
CKS917,1,22:12:06,22:12:31,10975,11250,Blocked,
CKS967,1,21:25:05,21:25:32,11000,11150,Clear,
COL375,1,14:14:41,14:19:54,8075,11850,Clear,
COL919,1,19:12:44,19:16:04,25800,29875,Clear,
CPA806,1,18:22:07,18:22:35,10683,11139,Clear,
CRE417,1,14:33:33,20:58:06,19950,44825,Clear,
CSG2501,1,21:30:18,21:30:46,11000,11106,Blocked,
DAL1015,1,13:38:52,13:42:39,35825,35875,Clear,
DAL1067,1,13:58:15,14:04:19,35775,35825,Persistent,
DAL1113,1,13:38:59,13:41:39,33975,34000,Dissipate < 10,
DAL1208,1,19:35:54,19:39:41,35800,35850,Clear,
DAL1433,1,14:40:50,17:35:52,33950,34829,Dissipate > 10,
DAL1471,1,22:36:12,22:36:37,10808,11219,Blocked,
DAL1475,1,14:28:28,14:30:30,32800,32875,Clear,
DAL1476,1,23:02:39,23:04:15,36808,36850,Blocked,
DAL1484,1,16:42:56,16:43:16,33850,33850,Blocked,
DAL1493,1,13:44:31,13:46:25,33775,33825,Clear,
DAL1519,1,18:22:01,18:23:54,34825,34850,Clear,
DAL1533,1,19:46:48,21:57:17,10950,31950,Clear,
DAL1544,1,13:07:08,13:07:36,10870,11282,Clear,
DAL1567,1,15:39:35,17:52:13,10875,30262,Clear,
DAL1590,1,21:47:11,21:52:19,33900,33925,Clear,
DAL1620,1,21:49:36,21:56:27,33900,33975,Clear,
DAL1629,1,14:22:55,14:27:41,9250,13657,Clear,
DAL1648,1,17:36:11,17:38:24,33925,33950,Clear,
DAL1730,1,17:46:19,17:50:29,33825,33875,Clear,
DAL1745,1,14:37:17,17:27:17,29975,36825,Dissipate < 10,
DAL1925,1,13:47:07,13:48:32,32950,32950,Clear,
DAL2006,1,18:23:42,20:01:33,8950,23700,Clear,
DAL2033,1,19:50:26,19:54:46,34875,34875,Dissipate < 10,
DAL2048,1,15:59:31,16:05:51,12650,26194,Clear,
DAL2055,1,17:37:57,17:38:23,10694,11169,Blocked,
DAL2094,1,19:31:48,19:37:50,35775,35850,Clear,
DAL2127,1,18:40:02,18:44:14,33825,33875,Clear,
DAL2129,1,22:02:29,22:05:39,35825,35875,Clear,
DAL2226,1,21:43:12,21:48:58,35875,35900,Clear,
DAL2236,1,18:03:49,18:07:20,34850,34850,Clear,
DAL2244,1,22:25:24,22:29:43,34875,34900,Dissipate > 10,
DAL2247,1,16:42:30,16:42:56,10925,11206,Blocked,
DAL2250,1,13:59:21,14:06:39,35775,35800,Persistent,
DAL2289,1,14:22:03,14:26:31,36800,36825,Dissipate < 10,
DAL2377,1,22:02:51,22:03:18,10789,11232,Blocked,
DAL2431,1,20:54:36,20:57:12,32000,32025,Clear,
DAL2468,1,22:07:47,22:12:35,35900,35950,Dissipate < 10,
DAL2477,1,18:19:14,22:07:28,35875,36900,Blocked,
DAL2525,1,16:07:05,16:10:40,36805,36850,Blocked,
DAL2594,1,19:44:10,19:47:33,36825,36875,Clear,
DAL2599,1,21:12:09,22:32:48,8150,17125,Clear,
DAL2619,1,13:17:13,13:17:35,15050,15825,Blocked,
DAL2650,1,23:37:20,23:42:10,34850,34900,Dissipate < 10,
DAL2681,1,15:19:57,16:44:33,8050,17550,Clear,
DAL2688,1,17:16:24,17:19:00,35775,35800,Clear,
DAL2697,1,17:11:09,17:14:03,33800,33825,Clear,
DAL2699,1,20:11:05,20:16:16,36850,36900,Dissipate < 10,
DAL2716,1,13:17:41,13:23:06,16025,25071,Clear,
DAL2719,1,13:04:52,13:07:47,34825,34875,Clear,
DAL2732,1,21:11:45,21:15:09,34875,34900,Clear,
DAL275,1,22:00:16,22:04:23,33900,33925,Clear,
DAL2756,1,18:58:21,19:00:18,32826,32875,Clear,
DAL2764,1,16:09:48,16:12:44,34800,34850,Blocked,
DAL2783,1,14:22:07,14:27:41,34850,36550,Dissipate > 10,
DAL2787,1,18:37:32,18:42:23,32900,34900,Dissipate < 10,
DAL2819,1,23:03:46,23:07:45,29925,30000,Clear,
DAL2864,1,13:46:34,13:50:56,32875,32900,Dissipate < 10,
DAL2866,1,19:29:27,19:35:36,34875,34925,Dissipate < 10,
DAL2872,1,22:01:30,22:02:10,35850,35850,Blocked,
DAL2884,1,16:20:27,20:38:24,33825,36825,Blocked,
DAL2885,1,23:38:33,23:43:45,8700,14225,Blocked,
DAL2958,1,13:00:47,17:40:34,33900,34841,Clear,
DAL2963,1,20:48:25,20:50:42,34800,34874,Clear,
DAL2983,1,16:28:38,20:55:30,34849,35850,Clear,
DAL333,1,19:26:46,19:28:33,34975,35000,Clear,
DAL336,1,14:01:55,14:03:42,34950,34950,Clear,
DAL361,1,13:17:15,22:17:19,33875,34925,Dissipate < 10,
DAL367,1,17:50:32,17:52:16,33000,33000,Clear,
DAL383,1,19:37:40,19:39:24,38925,38950,Blocked,
DAL386,1,18:20:39,18:23:16,36800,36825,Blocked,
DAL389,1,16:43:36,16:46:41,33825,33850,Blocked,
DAL400,1,17:48:38,17:50:21,34850,34875,Clear,
DAL405,1,17:31:49,17:34:31,38825,38875,Clear,
DAL429,1,17:49:53,17:51:48,34885,34925,Clear,
DAL437,1,23:05:43,23:08:42,38825,38825,Clear,
DAL442,1,21:24:04,21:25:43,30000,30000,Clear,
DAL451,1,17:31:50,17:35:25,34850,34875,Blocked,
DAL469,1,17:24:14,17:25:53,31925,31950,Blocked,
DAL497,1,22:10:29,22:13:38,34950,35025,Clear,
DAL499,1,14:17:07,14:22:33,33875,33900,Dissipate > 10,
DAL508,1,22:25:48,22:30:38,33925,33950,Clear,
DAL510,1,17:07:52,17:09:36,34925,34975,Blocked,
DAL532,1,19:53:42,19:55:26,35000,35045,Clear,
DAL555,1,22:24:46,22:26:30,38900,38925,Clear,
DAL639,1,18:04:46,18:09:15,36775,36800,Dissipate < 10,
DAL671,1,22:49:51,22:52:14,34975,35000,Clear,
DAL673,1,17:54:28,17:59:52,31948,31975,Blocked,
DAL698,1,13:20:35,13:23:37,33850,33875,Clear,
DAL699,1,13:33:39,13:36:02,33825,33875,Clear,
DAL728,1,17:08:09,17:12:24,31925,32000,Clear,
DAL734,1,13:33:35,13:38:16,31875,31875,Persistent,
DAL740,1,21:56:47,22:01:44,32000,32050,Clear,
DAL765,1,22:28:08,22:29:50,32025,32025,Clear,
DAL772,1,16:11:09,16:15:50,36825,36825,Dissipate < 10,
DAL795,1,21:00:12,21:01:53,35000,35025,Clear,
DAL797,1,15:19:17,15:21:03,35000,35000,Persistent,
DAL880,1,17:56:14,18:00:48,33850,33900,Blocked,
DAL8943,1,17:38:36,17:44:09,37825,37850,Dissipate < 10,
DAL916,1,19:30:48,19:31:28,35825,35850,Clear,
DAL934,1,16:21:14,16:23:01,36800,36825,Blocked,
DAL935,1,17:27:37,17:28:47,29975,29975,Blocked,
DAL939,1,21:55:43,21:57:24,36900,36950,Clear,
DAL944,1,22:41:23,22:46:01,31950,31950,Clear,
DAL951,1,20:52:22,20:54:03,35780,36950,Clear,
DAL977,1,23:32:03,23:33:52,36900,36928,Blocked,
DAL979,1,17:20:45,17:22:31,36950,36950,Clear,
DAL991,1,23:45:06,23:46:49,36975,37000,Clear,
DCM2650,1,15:57:30,15:57:39,10125,10450,Blocked,
DLH438,1,18:30:59,18:35:16,37875,37925,Clear,
EDV4787,1,19:49:55,19:53:43,31925,31950,Clear,
EDV4832,1,18:03:29,18:07:21,33900,33925,Clear,
EDV4834,1,17:45:17,17:47:48,35825,35875,Clear,
EDV4847,1,17:53:38,17:57:04,33900,33950,Blocked,
EDV4860,1,22:36:51,22:41:06,32925,32974,Clear,
EDV4873,1,13:12:07,14:30:26,9125,25138,Clear,
EDV4901,1,21:23:10,21:32:12,33825,33900,Clear,
EDV4931,1,23:00:59,23:02:15,33900,33925,Blocked,
EDV5020,1,19:41:10,19:44:39,34875,34900,Clear,
EDV5058,1,16:07:34,16:11:11,32900,32925,Clear,
EDV5125,1,21:44:57,21:50:30,31950,31975,Clear,
EDV5126,1,21:21:46,21:30:10,33825,33900,Clear,
EDV5344,1,13:04:33,13:08:25,35825,35875,Clear,
EJA217,1,20:16:20,20:22:19,19975,29781,Persistent,
EJA261,1,20:55:03,21:00:27,35900,35975,Clear,
EJA263,1,23:14:49,23:16:10,38975,39025,Clear,
EJA352,1,18:43:46,18:51:39,42850,42900,Clear,
EJA390,1,20:47:01,20:51:40,20975,21750,Blocked,
EJA529,1,19:17:57,19:22:34,8050,9900,Blocked,
EJA578,1,16:29:35,16:35:05,44900,44918,Clear,
EJA612,1,18:40:07,18:46:11,42850,42875,Clear,
EJA632,1,22:15:20,22:15:49,10450,11150,Clear,
EJA646,1,22:10:11,22:16:12,42900,42905,Clear,
EJA671,1,14:49:14,14:52:25,42875,42900,Clear,
EJA833,1,21:26:51,21:31:17,40850,40875,Clear,
EJA866,1,18:39:55,18:40:49,8150,9500,Blocked,
EJA871,1,15:26:32,15:30:48,40800,40800,Clear,
EJA925,1,23:00:45,23:05:19,40825,40850,Clear,
EJA937,1,21:38:36,21:39:12,8125,10275,Clear,
EJM24,1,16:08:32,16:11:32,44750,44775,Blocked,
ENY3514,1,18:32:23,18:32:51,10600,11063,Blocked,
ENY3584,1,20:23:00,20:23:28,11025,11039,Blocked,
ENY3612,1,22:01:28,22:01:58,11017,11175,Blocked,
ENY3717,1,18:57:48,23:51:12,11079,26650,Blocked,
ENY3837,1,23:52:45,23:53:13,11025,11119,Blocked,
ENY3906,1,22:25:24,22:25:50,10925,11108,Blocked,
ENY3953,1,22:50:08,22:53:28,8150,10000,Blocked,
ENY4063,1,20:36:20,20:36:48,11108,11194,Blocked,
ENY4136,1,18:58:18,22:22:20,10410,33167,Clear,
ENY4151,1,18:55:41,20:12:31,8025,9975,Blocked,
EVA646,1,14:34:01,14:34:29,10650,11158,Blocked,
EVA649,1,21:42:02,21:45:42,31925,31925,Clear,
EVA650,1,18:52:20,21:41:42,10900,31925,Clear,
FDX9792,1,16:42:36,16:48:46,34950,39850,Clear,
FFT1607,1,15:39:47,15:45:18,15975,25833,Clear,
FFT1608,1,13:42:13,15:39:37,8075,15600,Clear,
FFT3565,1,21:04:56,21:07:42,35975,36000,Clear,
FFT3566,1,18:04:26,18:10:02,38750,38875,Clear,
FRG115,1,16:27:50,16:34:25,30000,30025,Clear,
FRG919,1,15:27:59,15:37:55,15200,25963,Clear,
FRG9506,1,16:24:16,16:25:47,8075,10075,Blocked,
FRG9516,1,18:30:17,18:36:24,31025,31075,Dissipate > 10,
GJS4389,1,20:32:55,20:33:23,10975,11100,Blocked,
GJS4423,1,21:26:34,21:27:05,10775,11175,Blocked,
GJS4488,1,21:28:33,21:29:02,10775,10975,Blocked,
GJS4500,1,22:48:29,22:48:56,10379,10955,Blocked,
GJS4565,1,18:19:13,18:24:31,8025,11325,Blocked,
GJS4569,1,19:33:09,19:33:50,8100,9850,Clear,
GTI512,1,13:14:04,13:14:32,10808,11200,Blocked,
GTI557,1,14:25:18,14:25:45,11042,11388,Clear,
GTI8065,1,21:36:26,21:43:04,23375,35994,Dissipate < 10,
GTI8246,1,19:43:12,19:49:30,24225,37275,Dissipate > 10,
GTI8523,1,20:08:11,20:08:42,10950,11175,Blocked,
GTI8702,1,23:10:41,23:11:09,11025,11250,Blocked,
GTI8763,1,17:04:37,17:05:07,10925,11050,Blocked,
GTI8847,1,20:08:02,20:11:15,34400,37750,Clear,
HAL50,1,16:33:46,16:34:06,35900,35925,Blocked,
HAL51,1,16:34:26,16:39:15,35925,35925,Dissipate < 10,
HAL89,1,14:23:17,14:27:22,35900,35925,Dissipate < 10,
HAL90,1,14:22:17,14:22:57,35900,35900,Dissipate > 10,
JAL10,1,13:18:20,17:08:19,10575,26375,Blocked,
JAL4,1,21:48:24,21:51:44,38850,38850,Dissipate < 10,
JAL6,1,13:11:46,13:15:05,38725,38750,Dissipate < 10,
JAL9,1,17:08:31,17:12:29,26700,29925,Clear,
JBU1316,1,15:30:15,15:32:01,34875,34875,Clear,
JBU1734,1,21:21:44,21:23:03,35025,35050,Clear,
JBU2116,1,23:16:48,23:18:36,37025,37050,Clear,
JBU2824,1,16:22:24,16:24:14,32925,32950,Clear,
JBU416,1,21:04:14,21:07:11,34925,34950,Clear,
JBU434,1,18:39:37,18:44:18,34825,34875,Dissipate < 10,
JBU448,1,21:49:48,21:51:32,34959,35025,Clear,
JBU816,1,16:17:14,16:19:29,34875,34925,Clear,
JIA5358,1,17:08:39,19:23:41,30925,33900,Clear,
JIA5370,1,15:29:50,17:06:31,8125,20500,Clear,
JIA5514,1,20:18:07,21:37:13,8050,20625,Blocked,
JIA5579,1,17:52:08,17:58:53,8075,13975,Blocked,
JIA5593,1,19:13:58,21:53:23,31925,34975,Clear,
JKR96,1,21:47:43,21:52:17,36850,36875,Dissipate < 10,
JRE833,1,18:56:00,18:57:59,44750,44775,Clear,
JRE840,1,19:58:20,20:02:31,34750,39575,Clear,
KAL037,1,14:22:55,14:23:24,10950,10992,Clear,
KAL093,1,13:30:17,13:34:34,36800,36825,Dissipate < 10,
KOW818,1,18:32:49,18:38:08,46850,46900,Clear,
LKF98,1,19:46:24,19:52:50,22900,30667,Persistent,
LXJ484,1,18:06:52,18:09:41,44850,44875,Clear,
LXJ539,1,19:35:44,19:40:06,44850,44875,Clear,
LXJ582,1,15:59:45,16:02:47,44800,44825,Blocked,
LXJ595,1,20:13:59,20:17:36,42775,42850,Clear,
LXJ603,1,18:53:29,18:58:15,42875,42900,Clear,
LXJ92,1,17:16:00,17:19:34,42875,42925,Clear,
LYM3911,1,14:48:32,14:49:01,10650,11037,Clear,
LYM5680,1,21:36:45,21:37:14,11000,11053,Blocked,
MWT381,1,21:54:40,21:59:32,25559,30525,Clear,
N112CM,1,18:18:27,18:24:34,34584,39845,Clear,
N121BZ,1,15:51:31,15:55:50,34850,34925,Persistent,
N130WE,1,20:18:47,20:25:08,39775,39800,Clear,
N18WQ,1,17:34:37,17:40:08,39875,39925,Blocked,
